1234567891|01/10/2025 14:19:00|Depósito|1188000|13662000|14850000
1234567891|30/09/2025 08:52:00|Depósito|594000|13068000|13662000
1234567891|28/09/2025 02:58:00|Depósito|2970000|10098000|13068000
1234567891|25/09/2025 20:12:00|Retiro|297000|10395000|10098000
1234567891|22/09/2025 14:42:00|Depósito|594000|9801000|10395000


1234567892|29/09/2025  14:46:00|Depósito|1800000|8200000|10000000
1234567892|26/09/2025  08:45:00|Retiro|800000|9000000|8200000
1234567892|21/09/2025  02:27:00|Retiro|2000000|11000000|9000000
1234567892|19/09/2025  20:21:00|Retiro|200000|11200000|11000000
1234567892|13/09/2025  14:58:00|Depósito|1400000|9800000|11200000


1234567893|28/09/2025 14:38:00|Retiro|1008000|26208000|25200000
1234567893|21/09/2025 08:58:00|Depósito|504000|25704000|26208000
1234567893|17/09/2025 02:46:00|Depósito|2520000|23184000|25704000
1234567893|11/09/2025 20:03:00|Retiro|252000|23436000|23184000
1234567893|09/09/2025 14:30:00|Depósito|504000|22932000|23436000


1234567894|30/09/2025 14:13:00|Depósito|2160000|9840000|12000000
1234567894|26/09/2025 08:30:00|Retiro|2400000|12240000|9840000
1234567894|20/09/2025 02:25:00|Retiro|2400000|14640000|12240000
1234567894|13/09/2025 20:52:00|Depósito|480000|14160000|14640000
1234567894|11/09/2025 14:35:00|Depósito|960000|13200000|14160000


1234567895|30/09/2025 14:10:00|Depósito|11900000|73100000|85000000
1234567895|27/09/2025 08:41:00|Retiro|13600000|86700000|73100000
1234567895|25/09/2025 02:54:00|Retiro|5100000|91800000|86700000
1234567895|23/09/2025 20:05:00|Retiro|10200000|102000000|91800000
1234567895|21/09/2025 14:45:00|Depósito|8500000|93500000|102000000


